split,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,kappa,log_loss,brier,model_id,experiment,features,notes,feature_dim,train_n,eval_n,train_seconds,predict_seconds,prediction_ms_per_image,has_probabilities,validation_rank,validation_roc_auc,validation_f1
test,0.7311541027351568,0.7311541027351567,0.727810650887574,0.7384923282188125,0.733112582781457,0.8094535783473171,0.804887877689856,0.4623082054703136,0.5340397191562807,0.17880131326792462,stats_hgb,E7,stats,HistGradientBoosting on color/texture/frequency stats,376,17002,2998,3.123024827975314,0.01168515399331227,0.0038976497642802766,True,1,0.8116528616962859,0.7368772985623537
test,0.710140093395597,0.710140093395597,0.6859504132231405,0.7751834556370913,0.7278421547134356,0.7891905700086472,0.7889529376655187,0.42028018679119417,,,pca_all_rbfsvc_k200,E8,all,"PCA-whitened combined features + RBF SVM, PCA k=200",4732,6000,2998,5.02540833799867,3.476222882978618,1.1595139703064103,False,2,0.8094714486835674,0.7442151344590369
test,0.695130086724483,0.695130086724483,0.7061310782241015,0.6684456304202802,0.686771761480466,0.7583685988568762,0.7476402604039928,0.390260173448966,0.7998353342185963,0.23090116679668427,pca_all_mlp_k200,E8,all,"PCA-whitened combined features + shallow MLP, PCA k=200",4732,17002,2998,7.356396821036469,0.10106565803289413,0.03371102669542833,True,3,0.800367220787562,0.7361963190184049
test,0.7071380920613742,0.7071380920613742,0.7364813404417365,0.6450967311541027,0.6877667140825036,0.7690165691960085,0.7636044908376409,0.41427618412274847,0.5842106425500512,0.19857525825500488,pca_all_mlp_k100,E8,all,"PCA-whitened combined features + shallow MLP, PCA k=100",4732,17002,2998,7.676375250972342,0.1466928169829771,0.04893022581153338,True,4,0.7923887403958836,0.723841059602649
test,0.7068045363575717,0.7068045363575717,0.7088948787061995,0.7018012008005337,0.705330204492122,0.7689237788501208,0.7640512344890418,0.41360907271514347,,,all_sgdsvm_alpha0.0001,E7,all,"combined handcrafted linear hinge-loss SVM trained with SGD, alpha=0.0001",4732,17002,2998,1.2778119379654527,0.06472653499804437,0.021589904935972105,False,5,0.7811964682222504,0.699055330634278
test,0.6934623082054703,0.6934623082054703,0.6910408432147562,0.6997998665777185,0.6953927742790852,0.7629618322377248,0.7573504800082826,0.38692461641094067,0.5806446238189418,0.1983005404472351,pca_all_lda,E8,all,LDA on PCA-whitened combined features,4732,17002,2998,3.2206550120026805,0.055582313041668385,0.01853979754558652,True,6,0.7810558606734437,0.7218543046357616
test,0.6954636424282855,0.6954636424282855,0.6995912806539509,0.6851234156104069,0.6922817660936973,0.770323644715779,0.7686786070975257,0.390927284856571,,,all_sgdsvm_alpha1e-05,E7,all,"combined handcrafted linear hinge-loss SVM trained with SGD, alpha=1e-05",4732,17002,2998,1.0581468819873407,0.06273273698752746,0.020924862237334044,False,7,0.7801456818401581,0.7023569023569024
test,0.6911274182788526,0.6911274182788525,0.6881155613919895,0.6991327551701134,0.6935804103242885,0.760155424941956,0.7514833786167096,0.3822548365577051,,,pca_all_rbfsvc_k100,E8,all,"PCA-whitened combined features + RBF SVM, PCA k=100",4732,6000,2998,4.017253027006518,1.7604882839950733,0.5872209086040938,False,8,0.7779846724465093,0.7014725568942436
test,0.7028018679119413,0.7028018679119412,0.7045760430686406,0.6984656437625083,0.7015075376884422,0.7643770519016235,0.7602441076918668,0.40560373582388254,0.598145471137359,0.20479162397018374,stats_rf,E3/E4/E6,stats,Random Forest on color/texture/frequency stats,376,17002,2998,6.976160382037051,0.11894129699794576,0.039673548031336145,True,10,0.7745907965484173,0.7034903422568621
test,0.637758505670447,0.6377585056704469,0.6398104265402843,0.6304202801867912,0.6350806451612904,0.6894011173114742,0.6776632031842227,0.2755170113408939,,,hog_sgdsvm_alpha0.0001,E5,hog,"HOG linear hinge-loss SVM trained with SGD, alpha=0.0001",4356,17002,2998,1.190919690998271,0.05927322001662105,0.019770920619286543,False,12,0.7301253225767819,0.6644429619746498
